Datetime,Open,High,Low,Close,Adj Close,Volume
2022-05-27 09:30:00-04:00,130.16000366210938,130.1999969482422,129.17999267578125,129.24000549316406,129.24000549316406,386776
2022-05-27 09:35:00-04:00,129.24000549316406,129.64999389648438,129.13999938964844,129.5500030517578,129.5500030517578,205484
2022-05-27 09:40:00-04:00,129.55499267578125,129.91000366210938,129.2825927734375,129.7899932861328,129.7899932861328,275591
2022-05-27 09:45:00-04:00,129.82000732421875,130.36000061035156,129.77000427246094,130.29080200195312,130.29080200195312,171363
2022-05-27 09:50:00-04:00,130.3000030517578,130.66000366210938,130.08999633789062,130.66000366210938,130.66000366210938,196043
2022-05-27 09:55:00-04:00,130.6298065185547,130.7899932861328,130.4510040283203,130.60000610351562,130.60000610351562,136508
2022-05-27 10:00:00-04:00,130.58999633789062,130.63999938964844,130.30999755859375,130.44070434570312,130.44070434570312,112227
2022-05-27 10:05:00-04:00,130.4600067138672,130.52999877929688,130.16000366210938,130.4499969482422,130.4499969482422,131413
2022-05-27 10:10:00-04:00,130.4499969482422,130.63999938964844,130.3699951171875,130.5800018310547,130.5800018310547,114013
2022-05-27 10:15:00-04:00,130.5500030517578,130.77000427246094,130.52000427246094,130.6199951171875,130.6199951171875,129571
2022-05-27 10:20:00-04:00,130.63999938964844,130.77000427246094,130.52000427246094,130.53500366210938,130.53500366210938,120389
2022-05-27 10:25:00-04:00,130.5417022705078,130.55999755859375,130.25999450683594,130.3300018310547,130.3300018310547,93282
2022-05-27 10:30:00-04:00,130.3300018310547,130.42999267578125,130.14999389648438,130.16000366210938,130.16000366210938,87881
2022-05-27 10:35:00-04:00,130.16000366210938,130.25,129.89999389648438,129.9199981689453,129.9199981689453,108824
2022-05-27 10:40:00-04:00,129.94000244140625,130.14999389648438,129.85000610351562,130.13499450683594,130.13499450683594,162088
2022-05-27 10:45:00-04:00,130.13999938964844,130.39999389648438,130.0500030517578,130.38099670410156,130.38099670410156,121104
2022-05-27 10:50:00-04:00,130.38999938964844,130.4792022705078,130.25,130.4792022705078,130.4792022705078,99469
2022-05-27 10:55:00-04:00,130.47869873046875,130.5449981689453,130.33999633789062,130.37750244140625,130.37750244140625,117234
2022-05-27 11:00:00-04:00,130.38999938964844,130.50999450683594,130.27999877929688,130.43499755859375,130.43499755859375,132266
